tier	status	bytes_on_disk	candidate_path	keep_before_delete	notes
A0-executed	executed_2026-07-27	2027034100	outputs/cifar100_tq_*/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; packets; metrics; configs; logs	140 redundant cache files removed from completed teacher-quality sweeps; all manifest sources retained
A0-executed	executed_2026-07-27	281247740	outputs/cifar100_fullclass_dsdm_alexnet_dsdmguidee0200_ipc10_seed0/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; best synthetic images; packets; metrics; configs; logs	10 redundant cache files removed from superseded full-class diagnostic
A0-executed	executed_2026-07-27	281247740	outputs/cifar100_fullclass_dsdm_alexnet_modelbest_e0200_ipc10_seed0/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; best synthetic images; packets; metrics; configs; logs	10 redundant cache files removed from superseded/interrupted full-class diagnostic
A0-executed	executed_2026-07-27	198462660	outputs/cifar100_fullclass_dsdm_resnet10_standard_dsdmguidee0200_ipc10_seed0/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; best synthetic images; packets; metrics; configs; logs	10 redundant cache files removed from superseded full-class diagnostic
A0-executed	executed_2026-07-27	449606560	outputs/cifar100_fullclass_dsdm_resnet18_standard_dsdmguidee0200_ipc10_seed0/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; best synthetic images; packets; metrics; configs; logs	10 redundant cache files removed from superseded full-class diagnostic
A0-executed	executed_2026-07-27	163863380	outputs/cross_arch_distill_*/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; packets; metrics; configs; logs	20 redundant cache files removed from completed cross-architecture diagnostics
A0-executed	executed_2026-07-27	214306800	outputs/cifar100_4agent_25cls_novgg_*/**/checkpoints/dsdm_pretrained/*.pth	all source guide_model_*.pt; manifests; packets; metrics; configs; logs	30 redundant cache files removed from superseded no-VGG ResNet diagnostics
A0-protected	deferred_current_or_formal_evidence	5535880650	remaining outputs/**/checkpoints/dsdm_pretrained/**/*.pth	all guide_model_*.pt; pretrained_manifest.json; best synthetic images; packets; metrics; configs; logs	remaining caches were intentionally retained because they belong to active queues, current full-class pools, PAT/Tiny ImageNet work, or formal main/intermediate evidence
A	awaiting_user_confirmation	4076322816	external_baselines/outputs/fedre_reproduction/task1_official_pat10/*/official_round_100_models	per-seed status.json; summary.json; resolved_protocol.json; global_social_metrics.csv; paper_round_local_metrics.csv	largest safe candidate; three-seed FedRE task is complete and no active process/result builder references model files
A	awaiting_user_confirmation	243400704	external_baselines/outputs/fedre_reproduction/task3_social_pat4/*/official_round_100_models	per-seed status.json; summary.json; resolved_protocol.json; global_social_metrics.csv; paper_round_local_metrics.csv	completed FedRE task; keep compact metrics and protocol evidence
B	awaiting_user_confirmation	621711360	/root/autodl-tmp/social-packet-learning-git	user confirmation that this separate old repository is no longer needed	outside current repository; contains about 355 MB data and 264 MB outputs
B	awaiting_user_confirmation	371277824	/root/autodl-tmp/DDforSocialLearning-old	user confirmation that this separate old repository is no longer needed	outside current repository; includes an old CIFAR archive/source tree
C	defer_until_active_resnet_queues_finish	903372800	outputs/tinyimagenet_r18_all200_dsdm_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	best synthetic packet/manifest/config/log	inactive interrupted diagnostic; registry currently still marks running and must be corrected before cleanup
C	defer_until_active_resnet_queues_finish	903372800	outputs/tinyimagenet_r18_all200_dsdm_pcbn_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	best synthetic packet/manifest/config/log	inactive interrupted diagnostic; paired duplicate guide pool
C	defer_until_active_resnet_queues_finish	899235840	outputs/cifar100_fullclass_dsdm_resnet18_standard_dsdmguidee0200_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	20.26 diagnostic packet/manifest/config/log	superseded recipe evidence; retain compact result only
C	defer_until_active_resnet_queues_finish	396943360	outputs/cifar100_fullclass_dsdm_resnet10_standard_dsdmguidee0200_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	19.92 diagnostic packet/manifest/config/log	superseded recipe evidence; retain compact result only
C	defer_until_active_resnet_queues_finish	562544640	outputs/cifar100_fullclass_dsdm_alexnet_dsdmguidee0200_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	32.35 diagnostic packet/manifest/config/log	superseded by completed historical recipe recovery
C	defer_until_active_resnet_queues_finish	562544640	outputs/cifar100_fullclass_dsdm_alexnet_modelbest_e0200_ipc10_seed0/**/guide_model_*.pt + **/dsdm_pretrained/*.pth	30.30 interrupted diagnostic packet/manifest/config/log	interrupted e200 diagnostic; retain compact result only
TOTAL_A	awaiting_user_confirmation	4319723520	-	-	about 4.02 GiB immediately reclaimable without touching active/full-class current artifacts
TOTAL_B	awaiting_user_confirmation	992989184	-	-	about 0.92 GiB outside-repository legacy copies
TOTAL_C	defer_until_active_resnet_queues_finish	4225213440	-	-	about 3.94 GiB checkpoint-only compaction after current queues finish and provenance is rechecked
