path	bytes	category	reason	approval
external_baselines/outputs/fedre_reproduction/task1_official_pat10/seed_0/official_model_store	1358748705	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/task1_official_pat10/seed_1/official_model_store	1358748705	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/task1_official_pat10/seed_2/official_model_store	1358748705	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/task3_social_pat4/seed_0/official_model_store	81124421	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/task3_social_pat4/seed_1/official_model_store	81124421	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/task3_social_pat4/seed_2/official_model_store	81124421	redundant_post_paper_checkpoint	official training loop advanced the mutable store past round 100; immutable official_round_100_models snapshot is retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_reproduction/datasets	477205283	reproducible_data_cache	FedRE train/test exports can be regenerated by baseline_adapters/prepare_fedre_reproduction.py; summaries and formal snapshots are retained	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/fedre_social	81124665	failed_diagnostic_output	old failed FedRE diagnostic run; not a formal reproduction source	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/outputs/splits	519448378	reproducible_external_split_cache	third-party baseline split exports can be regenerated by baseline_adapters/export_cifar100_splits.py	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/repos/FedRE/HtFLlib/dataset/Cifar100	0	stale_symlink	link target is the reproducible external split cache being deleted	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/repos/FedRE/HtFLlib/dataset/Cifar100FedREPat10	0	stale_symlink	link target is the reproducible FedRE dataset cache being deleted	user requested FedRE and prior data-residue cleanup on 2026-07-22
external_baselines/repos/FedRE/HtFLlib/dataset/Cifar100SocialPAT4	0	stale_symlink	link target is the reproducible FedRE dataset cache being deleted	user requested FedRE and prior data-residue cleanup on 2026-07-22
